# Funbox 官方提供的各店資料（粉專＋LINE 官方帳號 ID），來源：官方 CSV「Funbox 戰鬥陀螺LINE抽選 各店資料表」
# 用途：上游彙整頁還沒收到某店的抽選時，去這兩個地方看它是不是已經自己發了（draw:sync 會列出待查清單）
# 第一欄空白＝官方有這家、本站 stores.tsv 還沒收錄；粉專欄空白＝官方那份沒給連結
# 欄位: 本站店名<TAB>官方店名<TAB>粉專網址<TAB>LINE官方帳號ID
高雄大遠百	高雄大遠百	https://www.facebook.com/share/1Asnih4jRc/?mibextid=wwXIfr	@204edsnm
台南西門	台南西門	https://www.facebook.com/share/1EgGWhL2my/?mibextid=wwXIfr	@344rybaf
漢神巨蛋	漢神巨蛋	https://www.facebook.com/share/1JMvwfTqpu/?mibextid=wwXIfr	@ldh6278d
高雄左營	高雄左營	https://www.facebook.com/100057115973730/	@obz8096L
夢時代	夢時代二館	https://www.facebook.com/share/1iiWSKHcvP/?mibextid=wwXIfr	@ott3541o
屏東環球	屏東環球	https://m.facebook.com/profile.php?id=61591804545442	@xhi2668e
台南南紡	南紡購物中心	https://www.facebook.com/profile.php?id=100057043616291&mibextid=wwXIfr&mibextid=wwXIfr	@msq0107x
澎湖3號港	澎坊商場	https://www.facebook.com/share/1G6GUr5oYt/?mibextid=wwXIfr	@185ybuaz
高雄大立	高雄大立	https://www.facebook.com/share/1CLmgDDbFw/	@917hatdy
義大2館	義大二館	https://www.facebook.com/share/1BwVM2Q3UP	@bxd6822t
高雄義享	義享天地	https://www.facebook.com/share/1EGnZY5Wad/	@777nkbeo
大魯閣新光	大魯閣新光	https://www.facebook.com/share/1EhNbSScWd/	@fko7562c
台南三井	台南三井	https://www.facebook.com/share/1981qXi5wG/	@212isujx
花蓮funbox	花蓮遠東	https://www.facebook.com/share/1Bq2zmw7FK/?mibextid=wwXIfr	@ymc0892z
台東秀泰	台東秀泰	https://www.facebook.com/share/1BTxAEJsEC/?mibextid=wwXIfr	@438glrqv
